code,country,year,width
AUS,Australia,1981,5
AUS,Australia,1982,5
AUS,Australia,1983,4
AUS,Australia,1984,4
AUS,Australia,1985,4
AUS,Australia,1986,5
AUS,Australia,1987,5
AUS,Australia,1988,4
AUS,Australia,1989,4
AUS,Australia,1990,4
AUS,Australia,1991,4
AUS,Australia,1992,5
AUS,Australia,1993,5
AUS,Australia,1994,4
AUS,Australia,1995,4
AUS,Australia,1996,5
AUS,Australia,1997,5
AUS,Australia,1998,4
AUS,Australia,1999,4
AUS,Australia,2000,4
AUS,Australia,2001,5
AUS,Australia,2002,5
AUS,Australia,2003,5
AUS,Australia,2004,5
AUS,Australia,2005,5
AUS,Australia,2006,5
AUS,Australia,2007,4
AUS,Australia,2008,5
AUS,Australia,2009,5
AUS,Australia,2010,5
AUS,Australia,2011,5
AUS,Australia,2012,5
AUS,Australia,2013,5
AUS,Australia,2014,5
AUS,Australia,2015,5
AUS,Australia,2016,4
AUS,Australia,2017,5
AUS,Australia,2018,4
AUS,Australia,2019,4
AUS,Australia,2020,4
AUS,Australia,2021,4
AUS,Australia,2022,5
AUS,Australia,2023,5
AUS,Australia,2024,5
AUT,Austria,1951,7
AUT,Austria,1952,6
AUT,Austria,1953,7
AUT,Austria,1954,6
AUT,Austria,1955,6
AUT,Austria,1956,5
AUT,Austria,1957,6
AUT,Austria,1958,5
AUT,Austria,1959,5
AUT,Austria,1960,5
AUT,Austria,1961,5
AUT,Austria,1962,5
AUT,Austria,1963,5
AUT,Austria,1964,6
AUT,Austria,1965,7
AUT,Austria,1966,7
AUT,Austria,1967,6
AUT,Austria,1968,5
AUT,Austria,1969,4
AUT,Austria,1970,4
AUT,Austria,1971,4
AUT,Austria,1972,5
AUT,Austria,1973,5
AUT,Austria,1974,5
AUT,Austria,1975,4
AUT,Austria,1976,5
AUT,Austria,1977,5
AUT,Austria,1978,5
AUT,Austria,1979,5
AUT,Austria,1980,6
AUT,Austria,1981,5
AUT,Austria,1982,5
AUT,Austria,1983,5
AUT,Austria,1984,5
AUT,Austria,1985,4
AUT,Austria,1986,5
AUT,Austria,1987,5
AUT,Austria,1988,5
AUT,Austria,1989,4
AUT,Austria,1990,4
AUT,Austria,1991,4
AUT,Austria,1992,4
AUT,Austria,1993,5
AUT,Austria,1994,5
AUT,Austria,1995,4
AUT,Austria,1996,5
AUT,Austria,1997,4
AUT,Austria,1998,5
AUT,Austria,1999,6
AUT,Austria,2000,5
AUT,Austria,2001,5
AUT,Austria,2002,5
AUT,Austria,2003,5
AUT,Austria,2004,4
AUT,Austria,2005,4
AUT,Austria,2006,5
AUT,Austria,2007,5
AUT,Austria,2008,5
AUT,Austria,2009,4
AUT,Austria,2010,4
AUT,Austria,2011,5
AUT,Austria,2012,5
AUT,Austria,2013,5
AUT,Austria,2014,5
AUT,Austria,2015,5
AUT,Austria,2016,5
AUT,Austria,2017,6
AUT,Austria,2018,4
AUT,Austria,2019,4
AUT,Austria,2020,4
AUT,Austria,2021,4
AUT,Austria,2022,4
AUT,Austria,2023,5
AUT,Austria,2024,5
BEL,Belgium,1950,5
BEL,Belgium,1951,5
BEL,Belgium,1952,5
BEL,Belgium,1953,5
BEL,Belgium,1954,5
BEL,Belgium,1955,5
BEL,Belgium,1956,5
BEL,Belgium,1957,5
BEL,Belgium,1958,5
BEL,Belgium,1959,5
BEL,Belgium,1960,4
BEL,Belgium,1961,4
BEL,Belgium,1962,4
BEL,Belgium,1963,5
BEL,Belgium,1964,5
BEL,Belgium,1965,5
BEL,Belgium,1966,5
BEL,Belgium,1967,5
BEL,Belgium,1968,5
BEL,Belgium,1969,5
BEL,Belgium,1970,5
BEL,Belgium,1971,5
BEL,Belgium,1972,5
BEL,Belgium,1973,5
BEL,Belgium,1974,4
BEL,Belgium,1975,4
BEL,Belgium,1976,4
BEL,Belgium,1977,4
BEL,Belgium,1978,4
BEL,Belgium,1979,4
BEL,Belgium,1980,3
BEL,Belgium,1981,4
BEL,Belgium,1982,3
BEL,Belgium,1983,3
BEL,Belgium,1984,4
BEL,Belgium,1985,4
BEL,Belgium,1986,3
BEL,Belgium,1987,3
BEL,Belgium,1988,3
BEL,Belgium,1989,3
BEL,Belgium,1990,4
BEL,Belgium,1991,4
BEL,Belgium,1992,3
BEL,Belgium,1993,3
BEL,Belgium,1994,4
BEL,Belgium,1995,3
BEL,Belgium,1996,4
BEL,Belgium,1997,4
BEL,Belgium,1998,3
BEL,Belgium,1999,3
BEL,Belgium,2000,4
BEL,Belgium,2001,3
BEL,Belgium,2002,4
BEL,Belgium,2003,4
BEL,Belgium,2004,4
BEL,Belgium,2005,4
BEL,Belgium,2006,4
BEL,Belgium,2007,4
BEL,Belgium,2008,4
BEL,Belgium,2009,4
BEL,Belgium,2010,5
BEL,Belgium,2011,4
BEL,Belgium,2012,4
BEL,Belgium,2013,4
BEL,Belgium,2014,4
BEL,Belgium,2015,4
BEL,Belgium,2016,4
BEL,Belgium,2017,4
BEL,Belgium,2018,3
BEL,Belgium,2019,3
BEL,Belgium,2020,3
BEL,Belgium,2021,4
BEL,Belgium,2022,4
BEL,Belgium,2023,4
BEL,Belgium,2024,4
BGR,Bulgaria,1950,4
BGR,Bulgaria,1951,5
BGR,Bulgaria,1952,5
BGR,Bulgaria,1953,5
BGR,Bulgaria,1954,5
BGR,Bulgaria,1955,5
BGR,Bulgaria,1956,4
BGR,Bulgaria,1957,5
BGR,Bulgaria,1958,5
BGR,Bulgaria,1959,4
BGR,Bulgaria,1960,4
BGR,Bulgaria,1961,4
BGR,Bulgaria,1962,4
BGR,Bulgaria,1963,3
BGR,Bulgaria,1964,3
BGR,Bulgaria,1965,4
BGR,Bulgaria,1966,3
BGR,Bulgaria,1967,3
BGR,Bulgaria,1968,4
BGR,Bulgaria,1969,3
BGR,Bulgaria,1970,3
BGR,Bulgaria,1971,3
BGR,Bulgaria,1972,3
BGR,Bulgaria,1973,3
BGR,Bulgaria,1974,4
BGR,Bulgaria,1975,3
BGR,Bulgaria,1976,3
BGR,Bulgaria,1977,3
BGR,Bulgaria,1978,3
BGR,Bulgaria,1979,3
BGR,Bulgaria,1980,3
BGR,Bulgaria,1981,3
BGR,Bulgaria,1982,3
BGR,Bulgaria,1983,3
BGR,Bulgaria,1984,3
BGR,Bulgaria,1985,3
BGR,Bulgaria,1986,3
BGR,Bulgaria,1987,3
BGR,Bulgaria,1988,3
BGR,Bulgaria,1989,3
BGR,Bulgaria,1990,3
BGR,Bulgaria,1991,3
BGR,Bulgaria,1992,3
BGR,Bulgaria,1993,3
BGR,Bulgaria,1994,3
BGR,Bulgaria,1995,4
BGR,Bulgaria,1996,5
BGR,Bulgaria,1997,5
BGR,Bulgaria,1998,5
BGR,Bulgaria,1999,6
BGR,Bulgaria,2000,6
BGR,Bulgaria,2001,7
BGR,Bulgaria,2002,6
BGR,Bulgaria,2003,7
BGR,Bulgaria,2004,7
BGR,Bulgaria,2005,6
BGR,Bulgaria,2006,7
BGR,Bulgaria,2007,6
BGR,Bulgaria,2008,6
BGR,Bulgaria,2009,5
BGR,Bulgaria,2010,6
BGR,Bulgaria,2011,5
BGR,Bulgaria,2012,5
BGR,Bulgaria,2013,5
BGR,Bulgaria,2014,4
BGR,Bulgaria,2015,6
BGR,Bulgaria,2016,6
BGR,Bulgaria,2017,6
BGR,Bulgaria,2018,6
BGR,Bulgaria,2019,6
BGR,Bulgaria,2020,6
BGR,Bulgaria,2021,4
BIH,Bosnia and Herzegovina,1950,8
BIH,Bosnia and Herzegovina,1951,5
BIH,Bosnia and Herzegovina,1952,5
BIH,Bosnia and Herzegovina,1953,5
BIH,Bosnia and Herzegovina,1954,5
BIH,Bosnia and Herzegovina,1955,5
BIH,Bosnia and Herzegovina,1956,6
BIH,Bosnia and Herzegovina,1957,6
BIH,Bosnia and Herzegovina,1958,5
BIH,Bosnia and Herzegovina,1959,6
BIH,Bosnia and Herzegovina,1960,6
BIH,Bosnia and Herzegovina,1961,6
BIH,Bosnia and Herzegovina,1962,5
BIH,Bosnia and Herzegovina,1963,5
BIH,Bosnia and Herzegovina,1964,5
BIH,Bosnia and Herzegovina,1965,5
BIH,Bosnia and Herzegovina,1966,6
BIH,Bosnia and Herzegovina,1967,6
BIH,Bosnia and Herzegovina,1968,5
BIH,Bosnia and Herzegovina,1969,4
BIH,Bosnia and Herzegovina,1970,4
BIH,Bosnia and Herzegovina,1971,4
BIH,Bosnia and Herzegovina,1972,4
BIH,Bosnia and Herzegovina,1973,5
BIH,Bosnia and Herzegovina,1974,5
BIH,Bosnia and Herzegovina,1975,5
BIH,Bosnia and Herzegovina,1976,5
BIH,Bosnia and Herzegovina,1977,5
BIH,Bosnia and Herzegovina,1978,5
BIH,Bosnia and Herzegovina,1979,5
BIH,Bosnia and Herzegovina,1980,4
BIH,Bosnia and Herzegovina,1981,5
BIH,Bosnia and Herzegovina,1982,4
BIH,Bosnia and Herzegovina,1983,5
BIH,Bosnia and Herzegovina,1984,5
BIH,Bosnia and Herzegovina,1985,5
BIH,Bosnia and Herzegovina,1986,6
BIH,Bosnia and Herzegovina,1987,6
BIH,Bosnia and Herzegovina,1988,4
BIH,Bosnia and Herzegovina,1989,4
BIH,Bosnia and Herzegovina,1990,5
BIH,Bosnia and Herzegovina,1996,6
BIH,Bosnia and Herzegovina,1997,4
BIH,Bosnia and Herzegovina,1998,5
BIH,Bosnia and Herzegovina,1999,4
BIH,Bosnia and Herzegovina,2000,5
BIH,Bosnia and Herzegovina,2001,5
BIH,Bosnia and Herzegovina,2002,5
BIH,Bosnia and Herzegovina,2003,5
BIH,Bosnia and Herzegovina,2004,5
BIH,Bosnia and Herzegovina,2005,6
BIH,Bosnia and Herzegovina,2006,6
BIH,Bosnia and Herzegovina,2007,6
BIH,Bosnia and Herzegovina,2008,6
BIH,Bosnia and Herzegovina,2009,6
BIH,Bosnia and Herzegovina,2010,6
BIH,Bosnia and Herzegovina,2011,5
BIH,Bosnia and Herzegovina,2012,5
BIH,Bosnia and Herzegovina,2013,5
BIH,Bosnia and Herzegovina,2014,5
BIH,Bosnia and Herzegovina,2015,5
BIH,Bosnia and Herzegovina,2016,6
BIH,Bosnia and Herzegovina,2017,6
BIH,Bosnia and Herzegovina,2018,6
BIH,Bosnia and Herzegovina,2019,6
BIH,Bosnia and Herzegovina,2020,5
BIH,Bosnia and Herzegovina,2021,6
BIH,Bosnia and Herzegovina,2022,6
BIH,Bosnia and Herzegovina,2023,6
BIH,Bosnia and Herzegovina,2024,6
BLR,Belarus,1960,5
BLR,Belarus,1961,8
BLR,Belarus,1962,6
BLR,Belarus,1963,7
BLR,Belarus,1964,7
BLR,Belarus,1965,3
BLR,Belarus,1966,3
BLR,Belarus,1967,2
BLR,Belarus,1968,3
BLR,Belarus,1969,4
BLR,Belarus,1970,2
BLR,Belarus,1971,3
BLR,Belarus,1972,3
BLR,Belarus,1973,4
BLR,Belarus,1974,2
BLR,Belarus,1975,4
BLR,Belarus,1976,4
BLR,Belarus,1977,3
BLR,Belarus,1978,3
BLR,Belarus,1979,3
BLR,Belarus,1980,3
BLR,Belarus,1981,3
BLR,Belarus,1982,3
BLR,Belarus,1983,3
BLR,Belarus,1984,3
BLR,Belarus,1985,3
BLR,Belarus,1986,4
BLR,Belarus,1987,2
BLR,Belarus,1988,2
BLR,Belarus,1989,4
BLR,Belarus,1990,3
BLR,Belarus,1991,3
BLR,Belarus,1992,3
BLR,Belarus,1993,3
BLR,Belarus,1994,4
BLR,Belarus,1995,4
BLR,Belarus,1996,3
BLR,Belarus,1997,3
BLR,Belarus,1998,4
BLR,Belarus,1999,3
BLR,Belarus,2000,3
BLR,Belarus,2001,4
BLR,Belarus,2002,4
BLR,Belarus,2003,4
BLR,Belarus,2004,5
BLR,Belarus,2005,4
BLR,Belarus,2006,3
BLR,Belarus,2007,4
BLR,Belarus,2008,4
BLR,Belarus,2009,5
BLR,Belarus,2010,4
BLR,Belarus,2011,4
BLR,Belarus,2012,3
BLR,Belarus,2013,4
BLR,Belarus,2014,5
BLR,Belarus,2015,6
BLR,Belarus,2016,5
BLR,Belarus,2017,5
BLR,Belarus,2018,6
CAN,Canada,1950,6
CAN,Canada,1951,7
CAN,Canada,1952,4
CAN,Canada,1953,5
CAN,Canada,1954,5
CAN,Canada,1955,5
CAN,Canada,1956,5
CAN,Canada,1957,5
CAN,Canada,1958,5
CAN,Canada,1959,5
CAN,Canada,1960,5
CAN,Canada,1961,5
CAN,Canada,1962,5
CAN,Canada,1963,4
CAN,Canada,1964,5
CAN,Canada,1965,5
CAN,Canada,1966,5
CAN,Canada,1967,3
CAN,Canada,1968,5
CAN,Canada,1969,5
CAN,Canada,1970,6
CAN,Canada,1971,5
CAN,Canada,1972,3
CAN,Canada,1973,5
CAN,Canada,1974,4
CAN,Canada,1975,4
CAN,Canada,1976,4
CAN,Canada,1977,4
CAN,Canada,1978,5
CAN,Canada,1979,5
CAN,Canada,1980,5
CAN,Canada,1981,5
CAN,Canada,1982,5
CAN,Canada,1983,5
CAN,Canada,1984,5
CAN,Canada,1985,4
CAN,Canada,1986,4
CAN,Canada,1987,3
CAN,Canada,1988,5
CAN,Canada,1989,5
CAN,Canada,1990,5
CAN,Canada,1991,2
CAN,Canada,1992,4
CAN,Canada,1993,4
CAN,Canada,1994,4
CAN,Canada,1995,4
CAN,Canada,1996,5
CAN,Canada,1997,4
CAN,Canada,1998,4
CAN,Canada,1999,5
CAN,Canada,2000,5
CAN,Canada,2001,5
CAN,Canada,2002,5
CAN,Canada,2003,4
CAN,Canada,2004,4
CAN,Canada,2005,4
CAN,Canada,2006,3
CAN,Canada,2007,2
CAN,Canada,2008,3
CAN,Canada,2009,2
CAN,Canada,2010,3
CAN,Canada,2011,3
CAN,Canada,2012,4
CAN,Canada,2013,4
CAN,Canada,2014,4
CAN,Canada,2015,4
CAN,Canada,2016,4
CAN,Canada,2017,4
CAN,Canada,2018,4
CAN,Canada,2019,5
CAN,Canada,2020,5
CAN,Canada,2021,4
CAN,Canada,2022,4
CAN,Canada,2023,4
CAN,Canada,2024,5
CHE,Switzerland,1950,5
CHE,Switzerland,1951,6
CHE,Switzerland,1952,5
CHE,Switzerland,1953,5
CHE,Switzerland,1954,5
CHE,Switzerland,1955,5
CHE,Switzerland,1956,4
CHE,Switzerland,1957,4
CHE,Switzerland,1958,4
CHE,Switzerland,1959,4
CHE,Switzerland,1960,3
CHE,Switzerland,1961,4
CHE,Switzerland,1962,4
CHE,Switzerland,1963,5
CHE,Switzerland,1964,5
CHE,Switzerland,1965,4
CHE,Switzerland,1966,4
CHE,Switzerland,1967,5
CHE,Switzerland,1968,5
CHE,Switzerland,1969,5
CHE,Switzerland,1970,5
CHE,Switzerland,1971,5
CHE,Switzerland,1972,5
CHE,Switzerland,1973,4
CHE,Switzerland,1974,4
CHE,Switzerland,1975,4
CHE,Switzerland,1976,4
CHE,Switzerland,1977,5
CHE,Switzerland,1978,4
CHE,Switzerland,1979,4
CHE,Switzerland,1980,4
CHE,Switzerland,1981,4
CHE,Switzerland,1982,4
CHE,Switzerland,1983,4
CHE,Switzerland,1984,4
CHE,Switzerland,1985,5
CHE,Switzerland,1986,4
CHE,Switzerland,1987,4
CHE,Switzerland,1988,4
CHE,Switzerland,1989,4
CHE,Switzerland,1990,4
CHE,Switzerland,1991,5
CHE,Switzerland,1992,4
CHE,Switzerland,1993,4
CHE,Switzerland,1994,4
CHE,Switzerland,1995,4
CHE,Switzerland,1996,4
CHE,Switzerland,1997,4
CHE,Switzerland,1998,4
CHE,Switzerland,1999,4
CHE,Switzerland,2000,4
CHE,Switzerland,2001,4
CHE,Switzerland,2002,5
CHE,Switzerland,2003,5
CHE,Switzerland,2004,4
CHE,Switzerland,2005,4
CHE,Switzerland,2006,4
CHE,Switzerland,2007,4
CHE,Switzerland,2008,5
CHE,Switzerland,2009,4
CHE,Switzerland,2010,4
CHE,Switzerland,2011,4
CHE,Switzerland,2012,4
CHE,Switzerland,2013,4
CHE,Switzerland,2014,4
CHE,Switzerland,2015,4
CHE,Switzerland,2016,5
CHE,Switzerland,2017,5
CHE,Switzerland,2018,5
CHE,Switzerland,2019,4
CHE,Switzerland,2020,4
CHE,Switzerland,2021,4
CHE,Switzerland,2022,5
CHE,Switzerland,2023,4
CHE,Switzerland,2024,4
CZE,Czech Republic,1950,5
CZE,Czech Republic,1951,5
CZE,Czech Republic,1952,5
CZE,Czech Republic,1953,4
CZE,Czech Republic,1954,4
CZE,Czech Republic,1955,4
CZE,Czech Republic,1956,4
CZE,Czech Republic,1957,3
CZE,Czech Republic,1958,4
CZE,Czech Republic,1959,3
CZE,Czech Republic,1960,3
CZE,Czech Republic,1961,3
CZE,Czech Republic,1962,3
CZE,Czech Republic,1963,3
CZE,Czech Republic,1964,5
CZE,Czech Republic,1965,3
CZE,Czech Republic,1966,3
CZE,Czech Republic,1967,4
CZE,Czech Republic,1968,3
CZE,Czech Republic,1969,3
CZE,Czech Republic,1970,4
CZE,Czech Republic,1971,4
CZE,Czech Republic,1972,3
CZE,Czech Republic,1973,3
CZE,Czech Republic,1974,3
CZE,Czech Republic,1975,3
CZE,Czech Republic,1976,4
CZE,Czech Republic,1977,4
CZE,Czech Republic,1978,4
CZE,Czech Republic,1979,3
CZE,Czech Republic,1980,3
CZE,Czech Republic,1981,3
CZE,Czech Republic,1982,3
CZE,Czech Republic,1983,3
CZE,Czech Republic,1984,3
CZE,Czech Republic,1985,3
CZE,Czech Republic,1986,4
CZE,Czech Republic,1987,4
CZE,Czech Republic,1988,4
CZE,Czech Republic,1989,4
CZE,Czech Republic,1990,4
CZE,Czech Republic,1991,4
CZE,Czech Republic,1992,4
CZE,Czech Republic,1993,5
CZE,Czech Republic,1994,4
CZE,Czech Republic,1995,4
CZE,Czech Republic,1996,4
CZE,Czech Republic,1997,3
CZE,Czech Republic,1998,4
CZE,Czech Republic,1999,3
CZE,Czech Republic,2000,4
CZE,Czech Republic,2001,3
CZE,Czech Republic,2002,4
CZE,Czech Republic,2003,4
CZE,Czech Republic,2004,4
CZE,Czech Republic,2005,3
CZE,Czech Republic,2006,4
CZE,Czech Republic,2007,4
CZE,Czech Republic,2008,3
CZE,Czech Republic,2009,4
CZE,Czech Republic,2010,4
CZE,Czech Republic,2011,4
CZE,Czech Republic,2012,4
CZE,Czech Republic,2013,3
CZE,Czech Republic,2014,3
CZE,Czech Republic,2015,3
CZE,Czech Republic,2016,4
CZE,Czech Republic,2017,5
CZE,Czech Republic,2018,5
CZE,Czech Republic,2019,4
CZE,Czech Republic,2020,5
CZE,Czech Republic,2021,4
CZE,Czech Republic,2022,4
CZE,Czech Republic,2023,4
CZE,Czech Republic,2024,4
DEUTE,"Germany, East",1952,5
DEUTE,"Germany, East",1953,4
DEUTE,"Germany, East",1954,4
DEUTE,"Germany, East",1955,4
DEUTE,"Germany, East",1956,4
DEUTE,"Germany, East",1957,5
DEUTE,"Germany, East",1958,5
DEUTE,"Germany, East",1959,5
DEUTE,"Germany, East",1960,4
DEUTE,"Germany, East",1961,5
DEUTE,"Germany, East",1962,5
DEUTE,"Germany, East",1963,5
DEUTE,"Germany, East",1964,5
DEUTE,"Germany, East",1965,4
DEUTE,"Germany, East",1966,4
DEUTE,"Germany, East",1967,3
DEUTE,"Germany, East",1968,3
DEUTE,"Germany, East",1969,3
DEUTE,"Germany, East",1970,3
DEUTE,"Germany, East",1971,3
DEUTE,"Germany, East",1972,3
DEUTE,"Germany, East",1973,3
DEUTE,"Germany, East",1974,3
DEUTE,"Germany, East",1975,4
DEUTE,"Germany, East",1976,4
DEUTE,"Germany, East",1977,5
DEUTE,"Germany, East",1978,4
DEUTE,"Germany, East",1979,4
DEUTE,"Germany, East",1980,4
DEUTE,"Germany, East",1981,4
DEUTE,"Germany, East",1982,4
DEUTE,"Germany, East",1983,5
DEUTE,"Germany, East",1984,4
DEUTE,"Germany, East",1985,4
DEUTE,"Germany, East",1986,4
DEUTE,"Germany, East",1987,4
DEUTE,"Germany, East",1988,4
DEUTE,"Germany, East",1989,4
DEUTE,"Germany, East",1990,4
DEUTE,"Germany, East",1991,4
DEUTE,"Germany, East",1992,4
DEUTE,"Germany, East",1993,4
DEUTE,"Germany, East",1994,4
DEUTE,"Germany, East",1995,4
DEUTE,"Germany, East",1996,4
DEUTE,"Germany, East",1997,4
DEUTE,"Germany, East",1998,3
DEUTE,"Germany, East",1999,4
DEUTE,"Germany, East",2000,4
DEUTE,"Germany, East",2001,4
DEUTE,"Germany, East",2002,4
DEUTE,"Germany, East",2003,4
DEUTE,"Germany, East",2004,3
DEUTE,"Germany, East",2005,5
DEUTE,"Germany, East",2006,6
DEUTE,"Germany, East",2007,5
DEUTE,"Germany, East",2008,5
DEUTE,"Germany, East",2009,5
DEUTE,"Germany, East",2010,5
DEUTE,"Germany, East",2011,5
DEUTE,"Germany, East",2012,5
DEUTE,"Germany, East",2013,5
DEUTE,"Germany, East",2014,5
DEUTE,"Germany, East",2015,5
DEUTE,"Germany, East",2016,5
DEUTE,"Germany, East",2017,5
DEUTW,"Germany, West",1950,6
DEUTW,"Germany, West",1951,8
DEUTW,"Germany, West",1952,7
DEUTW,"Germany, West",1953,7
DEUTW,"Germany, West",1954,7
DEUTW,"Germany, West",1955,7
DEUTW,"Germany, West",1956,5
DEUTW,"Germany, West",1957,5
DEUTW,"Germany, West",1958,5
DEUTW,"Germany, West",1959,5
DEUTW,"Germany, West",1960,5
DEUTW,"Germany, West",1961,5
DEUTW,"Germany, West",1962,5
DEUTW,"Germany, West",1963,5
DEUTW,"Germany, West",1964,5
DEUTW,"Germany, West",1965,5
DEUTW,"Germany, West",1966,6
DEUTW,"Germany, West",1967,7
DEUTW,"Germany, West",1968,7
DEUTW,"Germany, West",1969,6
DEUTW,"Germany, West",1970,6
DEUTW,"Germany, West",1971,6
DEUTW,"Germany, West",1972,6
DEUTW,"Germany, West",1973,5
DEUTW,"Germany, West",1974,4
DEUTW,"Germany, West",1975,4
DEUTW,"Germany, West",1976,5
DEUTW,"Germany, West",1977,5
DEUTW,"Germany, West",1978,5
DEUTW,"Germany, West",1979,4
DEUTW,"Germany, West",1980,4
DEUTW,"Germany, West",1981,5
DEUTW,"Germany, West",1982,4
DEUTW,"Germany, West",1983,5
DEUTW,"Germany, West",1984,4
DEUTW,"Germany, West",1985,4
DEUTW,"Germany, West",1986,4
DEUTW,"Germany, West",1987,4
DEUTW,"Germany, West",1988,5
DEUTW,"Germany, West",1989,4
DEUTW,"Germany, West",1990,4
DEUTW,"Germany, West",1991,4
DEUTW,"Germany, West",1992,4
DEUTW,"Germany, West",1993,4
DEUTW,"Germany, West",1994,4
DEUTW,"Germany, West",1995,4
DEUTW,"Germany, West",1996,4
DEUTW,"Germany, West",1997,5
DEUTW,"Germany, West",1998,5
DEUTW,"Germany, West",1999,5
DEUTW,"Germany, West",2000,5
DEUTW,"Germany, West",2001,5
DEUTW,"Germany, West",2002,5
DEUTW,"Germany, West",2003,5
DEUTW,"Germany, West",2004,5
DEUTW,"Germany, West",2005,5
DEUTW,"Germany, West",2006,5
DEUTW,"Germany, West",2007,5
DEUTW,"Germany, West",2008,5
DEUTW,"Germany, West",2009,5
DEUTW,"Germany, West",2010,5
DEUTW,"Germany, West",2011,4
DEUTW,"Germany, West",2012,5
DEUTW,"Germany, West",2013,5
DEUTW,"Germany, West",2014,5
DEUTW,"Germany, West",2015,5
DEUTW,"Germany, West",2016,5
DEUTW,"Germany, West",2017,5
DNK,Denmark,1950,6
DNK,Denmark,1951,5
DNK,Denmark,1952,6
DNK,Denmark,1953,5
DNK,Denmark,1954,5
DNK,Denmark,1955,4
DNK,Denmark,1956,4
DNK,Denmark,1957,5
DNK,Denmark,1958,4
DNK,Denmark,1959,5
DNK,Denmark,1960,5
DNK,Denmark,1961,5
DNK,Denmark,1962,4
DNK,Denmark,1963,4
DNK,Denmark,1964,4
DNK,Denmark,1965,5
DNK,Denmark,1966,4
DNK,Denmark,1967,5
DNK,Denmark,1968,5
DNK,Denmark,1969,3
DNK,Denmark,1970,4
DNK,Denmark,1971,3
DNK,Denmark,1972,4
DNK,Denmark,1973,4
DNK,Denmark,1974,4
DNK,Denmark,1975,4
DNK,Denmark,1976,4
DNK,Denmark,1977,4
DNK,Denmark,1978,3
DNK,Denmark,1979,5
DNK,Denmark,1980,4
DNK,Denmark,1981,4
DNK,Denmark,1982,4
DNK,Denmark,1983,3
DNK,Denmark,1984,3
DNK,Denmark,1985,3
DNK,Denmark,1986,4
DNK,Denmark,1987,4
DNK,Denmark,1988,3
DNK,Denmark,1989,5
DNK,Denmark,1990,5
DNK,Denmark,1991,4
DNK,Denmark,1992,4
DNK,Denmark,1993,4
DNK,Denmark,1994,5
DNK,Denmark,1995,5
DNK,Denmark,1996,4
DNK,Denmark,1997,4
DNK,Denmark,1998,4
DNK,Denmark,1999,3
DNK,Denmark,2000,3
DNK,Denmark,2001,3
DNK,Denmark,2002,4
DNK,Denmark,2003,4
DNK,Denmark,2004,4
DNK,Denmark,2005,4
DNK,Denmark,2006,4
DNK,Denmark,2007,4
DNK,Denmark,2008,4
DNK,Denmark,2009,3
DNK,Denmark,2010,5
DNK,Denmark,2011,4
DNK,Denmark,2012,5
DNK,Denmark,2013,4
DNK,Denmark,2014,3
DNK,Denmark,2015,5
DNK,Denmark,2016,5
DNK,Denmark,2017,5
DNK,Denmark,2018,4
DNK,Denmark,2019,4
DNK,Denmark,2020,5
DNK,Denmark,2021,4
DNK,Denmark,2022,4
DNK,Denmark,2023,3
DNK,Denmark,2024,4
DNK,Denmark,2025,4
